fecha,moneda,precio_inicial,take_profit,stop_loss,precio_final,resultado,ganancia
2025-07-31 12:43:07,BTC/USDT,117837.93,121373.07,114302.79,110909.37,STOP LOSS ACTIVADO,-7
2025-07-31 12:43:10,ETH/USDT,3781.54,3894.99,3668.09,3797.5,NEUTRAL,0
2025-07-31 12:43:15,SOL/USDT,177.55,182.88,172.22,180.24,NEUTRAL,0
2025-07-31 12:51:12,BTC/USDT,117820.01,121354.61,114285.41,117820.01,NEUTRAL,0
2025-07-31 12:51:20,ETH/USDT,3780.41,3893.82,3667.0,3781.53,NEUTRAL,0
2025-07-31 12:51:29,SOL/USDT,177.89,183.23,172.55,177.91,NEUTRAL,0
2025-07-31 12:53:23,BTC/USDT,117800.44,121334.45,114266.43,117792.88,NEUTRAL,0
2025-07-31 12:53:33,ETH/USDT,3781.67,3895.12,3668.22,3782.11,NEUTRAL,0
2025-07-31 12:53:44,SOL/USDT,178.09,183.43,172.75,178.1,NEUTRAL,0
